!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Sunday, September 20, 2020 15:35:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-11.501254,-86.544365
532500000,-13.604568,-107.6021
565000000,-18.289124,-36.071068
597500000,-4.0034409,66.129089
630000000,2.7549989,98.398193
662500000,6.404079,118.35835
695000000,10.523955,-142.53749
727500000,17.511614,133.54608
760000000,18.019012,88.836021
792500000,17.694292,28.825134
825000000,17.196617,-70.049438
857500000,17.810204,-124.24114
890000000,18.013487,-151.18126
922500000,17.605404,152.10994
955000000,17.670977,118.92608
987500000,17.149992,103.23053
1020000000,17.653692,79.662018
1052500000,16.265705,69.16787
1085000000,17.535759,63.733528
1117500000,16.197123,65.813843
1150000000,16.782103,84.26844
1182500000,16.408411,84.052673
1215000000,17.235838,112.75305
1247500000,16.815546,124.64684
1280000000,15.424143,172.31688
1312500000,15.700337,-140.91603
1345000000,15.971366,-90.821671
1377500000,16.126492,-60.544567
1410000000,14.727101,-27.025017
1442500000,15.925294,36.447231
1475000000,16.337946,77.278389
1507500000,16.258476,134.57034
1540000000,15.864426,-179.40804
1572500000,14.557722,-129.49959
1605000000,14.250809,-45.75552
1637500000,14.852618,11.799995
1670000000,12.378736,72.004677
1702500000,13.006228,153.55934
1735000000,12.843855,-133.9164
1767500000,10.648213,-60.86956
1800000000,12.361717,34.538662
1832500000,12.720902,107.99503
1865000000,11.443176,-168.49931
1897500000,12.783125,-69.300797
1930000000,13.888257,7.0874724
1962500000,13.798664,87.474724
1995000000,13.438334,174.3466
2027500000,12.427655,-104.56613
2060000000,11.251059,-15.106231
2092500000,8.9658651,77.047386
2125000000,8.3827219,-172.50519
2157500000,7.6100917,-82.89077
2190000000,6.592638,21.429289
2222500000,6.4096026,117.11729
2255000000,4.5916271,-149.88275
2287500000,1.321535,-53.270901
2320000000,-3.0983849,59.97715
2352500000,-7.2923899,178.90211
2385000000,-7.7621722,-60.763966
2417500000,-15.294333,42.080513
2450000000,-14.839499,-71.907997
2482500000,-6.0544963,43.196548
2515000000,-2.034199,144.06631
2547500000,-4.2255445,-115.24294
2580000000,-3.9579101,39.922092
2612500000,0.68452311,153.2868
2645000000,1.6446415,-92.953934
2677500000,3.1096771,20.438713
2710000000,4.8738632,142.30739
2742500000,6.4947877,-106.92023
2775000000,6.6569228,3.870369
2807500000,5.7895288,125.16837
2840000000,7.3561687,-108.27052
2872500000,8.1513014,6.954926
2905000000,8.3091393,124.91882
2937500000,6.6452627,-122.67616
2970000000,4.6535101,21.86442
3002500000,6.0931334,157.60379
3035000000,8.1845675,-74.919884
3067500000,8.440999,43.287033
3100000000,8.041461,172.21165
3132500000,8.4486103,-57.39716
3165000000,8.9163256,71.328148
3197500000,9.195446,-165.15535
3230000000,8.3134928,-38.356457
3262500000,7.6239271,93.065598
3295000000,6.0112176,-133.10248
3327500000,5.9547629,8.5457249
3360000000,6.1605821,149.07503
3392500000,7.2269759,-78.890373
3425000000,7.439815,51.297878
3457500000,6.4914279,-177.72903
3490000000,6.1632752,-39.414833
3522500000,5.6466079,98.308273
3555000000,5.5338097,-122.27486
3587500000,5.4145856,17.381355
3620000000,5.5996013,156.68781
3652500000,5.7113109,-68.107819
3685000000,4.5719385,70.36187
3717500000,4.803371,-144.49397
3750000000,4.86024,-5.6058564
3782500000,4.7620325,136.13734
3815000000,4.8482985,-82.084671
3847500000,4.5863628,54.963036
3880000000,3.8890679,-161.52686
3912500000,3.0701921,-17.355644
3945000000,2.757359,134.83365
3977500000,3.7748027,-79.973282
4010000000,3.8202109,58.590607
4042500000,3.2423699,-160.0289
4075000000,2.702929,-14.53775
4107500000,2.5887041,126.22517
4140000000,0.9335711,-90.791443
4172500000,0.39545989,61.488834
4205000000,0.22864023,-150.5239
4237500000,0.37603927,-5.5859246
4270000000,-0.45112634,136.05544
4302500000,-2.1317141,-75.011719
4335000000,-2.7722814,78.755806
4367500000,-3.5098143,-131.52251
4400000000,-4.5354252,25.136223
4432500000,-4.4417858,-174.7556
4465000000,-3.5741563,-24.072681
4497500000,-3.5049357,124.20184
4530000000,-3.7976162,-89.896919
4562500000,-5.0659103,57.329521
4595000000,-6.6494083,-147.57999
4627500000,-7.0952153,10.405969
4660000000,-7.7273135,163.90511
