!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Sunday, September 20, 2020 15:41:28
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-14.894905,-139.76138
532500000,-15.955743,-166.21405
565000000,-14.061498,-88.830696
597500000,-7.5021663,17.869219
630000000,0.35163897,36.723503
662500000,6.8178949,82.430878
695000000,13.00317,121.316
727500000,17.126589,68.252655
760000000,17.633642,2.9847438
792500000,17.001125,-66.048653
825000000,17.081623,-153.57399
857500000,17.395615,163.23062
890000000,17.506924,128.81798
922500000,17.214943,58.18684
955000000,16.397274,50.046501
987500000,16.245493,12.565861
1020000000,17.436762,-5.8485532
1052500000,13.923779,-31.433893
1085000000,16.643961,-31.384542
1117500000,13.87144,-12.125363
1150000000,16.379581,-15.983773
1182500000,14.029379,-16.632738
1215000000,16.412291,14.510224
1247500000,15.540732,26.991095
1280000000,15.322852,64.535149
1312500000,13.934393,100.33821
1345000000,14.653817,149.22314
1377500000,14.330441,175.69737
1410000000,12.522458,-138.86142
1442500000,13.968315,-87.340256
1475000000,14.868153,-41.230373
1507500000,14.84751,14.4899
1540000000,14.667549,58.758369
1572500000,13.916002,106.94063
1605000000,14.187209,173.48393
1637500000,13.090191,-128.83875
1670000000,11.047842,-62.421238
1702500000,12.204875,8.5867071
1735000000,11.647573,80.53833
1767500000,10.629898,146.98288
1800000000,10.815522,-125.71832
1832500000,10.512076,-46.538609
1865000000,9.6068363,30.440681
1897500000,11.141774,125.39742
1930000000,11.995918,-155.3943
1962500000,12.035079,-75.820778
1995000000,10.805321,15.257576
2027500000,10.641293,96.964088
2060000000,9.5355654,-174.386
2092500000,8.70648,-82.551933
2125000000,7.1500711,10.6703
2157500000,6.4439878,109.381
2190000000,6.3112807,-157.80511
2222500000,3.1224098,-62.017742
2255000000,3.4716685,54.225323
2287500000,3.1288147,154.35274
2320000000,2.1970849,-103.56315
2352500000,0.22400041,0.47952971
2385000000,-0.66591477,117.50459
2417500000,-4.5578365,-128.70216
2450000000,-5.8326821,12.143523
2482500000,-6.0378604,158.86232
2515000000,1.6223325,-67.116066
2547500000,5.3971863,20.070469
2580000000,6.1044326,112.94769
2612500000,4.808784,-147.66083
2645000000,3.0554218,-42.030064
2677500000,2.7452919,86.990349
2710000000,2.5597227,-154.9776
2742500000,2.8131104,-32.689438
2775000000,4.2946563,88.722984
2807500000,4.2118578,-162.23779
2840000000,3.0537062,-43.427414
2872500000,3.118427,85.275215
2905000000,2.9065137,-152.43979
2937500000,1.7566156,-28.702986
2970000000,0.43348384,114.16728
3002500000,3.4845009,-114.78592
3035000000,5.296258,3.8389285
3067500000,5.7656069,121.36294
3100000000,4.6398873,-115.0862
3132500000,4.8984017,17.42947
3165000000,5.2502913,146.28035
3197500000,5.8374033,-87.548729
3230000000,6.1756921,38.946125
3262500000,5.6844616,166.32408
3295000000,4.8380251,-64.30352
3327500000,4.2437053,76.292374
3360000000,5.5499825,-150.72227
3392500000,5.9114738,-22.596422
3425000000,6.2954636,109.27205
3457500000,6.2518535,-121.07281
