!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Sunday, September 20, 2020 15:44:45
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-17.792665,-147.97249
532500000,-15.569406,-165.82634
565000000,-15.664303,-73.950912
597500000,-6.9415965,46.093365
630000000,-0.83128375,38.055393
662500000,1.4072226,99.076286
695000000,13.614796,147.73192
727500000,17.223488,76.210701
760000000,17.194897,20.543129
792500000,17.674866,-42.106918
825000000,17.273731,-140.69017
857500000,17.41181,159.81879
890000000,17.706425,137.59476
922500000,17.132845,79.61068
955000000,17.192875,44.352661
987500000,15.942251,15.988918
1020000000,16.968882,1.4833155
1052500000,13.803881,-21.424671
1085000000,16.222034,-10.080577
1117500000,13.625585,4.8324451
1150000000,16.759907,-1.1038172
1182500000,14.026544,-11.540535
1215000000,16.637621,31.392895
1247500000,15.824649,45.290306
1280000000,16.761934,86.254639
1312500000,16.33033,102.82347
1345000000,15.229833,155.70894
1377500000,15.376081,-172.12404
1410000000,14.179259,-127.20444
1442500000,15.35539,-83.906548
1475000000,14.869871,-44.978516
1507500000,13.12463,27.611269
1540000000,14.503496,81.441696
1572500000,14.675941,129.89511
1605000000,14.280069,-160.14763
1637500000,14.704351,-104.19516
1670000000,11.642902,-46.57011
1702500000,13.717314,33.913448
1735000000,14.128516,100.73346
1767500000,13.404774,168.93916
1800000000,13.280359,-107.29132
1832500000,12.904673,-30.074802
1865000000,11.603701,42.667683
1897500000,12.730939,143.49211
1930000000,13.504403,-138.12563
1962500000,13.256132,-55.952431
1995000000,11.806998,32.310993
2027500000,10.987734,123.94765
2060000000,10.562313,-142.77132
2092500000,8.9521074,-49.156521
2125000000,10.194636,57.582981
2157500000,10.578536,154.42734
2190000000,11.542941,-115.60686
2222500000,10.536725,-22.106113
2255000000,9.1931496,95.168114
2287500000,10.195869,-166.37769
2320000000,8.638876,-67.663902
2352500000,7.0896358,48.370945
2385000000,8.3603382,154.47395
2417500000,8.5511084,-98.457573
2450000000,8.1213369,6.066813
2482500000,7.7072086,113.01615
2515000000,5.1555643,-117.97052
2547500000,9.0761347,4.5170231
2580000000,9.9044771,107.42002
2612500000,9.5522261,-142.70313
2645000000,9.0084381,-26.20101
2677500000,9.3549938,93.130554
2710000000,10.217921,-153.63976
2742500000,10.10526,-41.507439
2775000000,10.000777,75.472786
2807500000,10.302607,-161.72417
2840000000,11.036992,-50.145237
2872500000,9.9307604,64.380852
2905000000,8.4829607,-169.94238
2937500000,8.4156961,-40.757442
2970000000,8.5679579,82.514755
3002500000,7.9421611,-153.71222
3035000000,7.6547136,-25.662125
3067500000,7.4741068,105.01611
3100000000,7.6216388,-124.70222
3132500000,8.4636526,5.9027481
3165000000,8.6026354,130.7719
3197500000,8.7486887,-100.01404
3230000000,8.8870125,26.398281
3262500000,8.5397758,152.99396
3295000000,7.0324006,-76.464821
3327500000,6.4491644,62.175972
3360000000,6.3070455,-159.91968
3392500000,6.9076777,-27.144594
3425000000,7.477951,107.18356
3457500000,7.3651557,-120.95991
3490000000,7.9380493,12.180247
3522500000,7.4714952,144.31509
3555000000,7.4314833,-76.528679
3587500000,7.7989793,60.020691
3620000000,8.5073729,-165.71223
3652500000,8.5126228,-35.969902
3685000000,7.6353369,98.187057
3717500000,7.2385173,-123.1542
3750000000,6.858182,17.00285
3782500000,6.7906637,155.10901
3815000000,6.7625031,-63.324493
3847500000,6.8389564,75.710625
3880000000,7.1962819,-145.43132
3912500000,6.7272677,-8.8631868
3945000000,5.7277842,134.27141
3977500000,5.6946831,-77.93222
4010000000,6.175251,65.703972
4042500000,6.4053202,-154.19196
4075000000,6.1806331,-14.486688
4107500000,5.7003317,126.93325
4140000000,5.0989399,-92.512276
4172500000,4.3565745,52.792831
4205000000,3.8658834,-162.79254
4237500000,3.2944372,-15.300867
4270000000,3.2987654,133.03087
4302500000,3.3449697,-82.211769
4335000000,3.259793,63.003666
4367500000,2.754113,-151.96677
4400000000,1.889238,-0.86500424
4432500000,2.1616471,153.06058
4465000000,2.73246,-58.505009
4497500000,2.7813859,87.607079
4530000000,2.2507801,-124.86247
4562500000,1.916893,25.776966
4595000000,1.1602585,173.71812
4627500000,0.40705949,-33.108276
4660000000,-0.20670608,121.92848
4692500000,-0.44347787,-83.160545
4725000000,-0.78472978,72.5233
4757500000,-0.59166032,-130.73199
4790000000,0.017761091,22.67802
4822500000,0.50933474,174.20825
4855000000,0.64339113,-35.194046
4887500000,0.37001619,114.94165
4920000000,-0.080955416,-93.159805
4952500000,-0.91389292,64.656006
4985000000,-0.92411613,-136.62498
5017500000,-0.70807058,21.301729
5050000000,-0.69720167,178.9046
5082500000,-0.30694205,-24.812885
5115000000,-0.18071181,132.64998
5147500000,-0.090338752,-72.535782
5180000000,-0.12780307,81.932289
5212500000,-0.50251585,-120.89429
5245000000,-0.59004194,39.281967
5277500000,0.054755691,-163.60239
5310000000,0.20348656,-9.23351
5342500000,-0.13168348,145.99791
5375000000,-0.33905166,-58.184238
5407500000,-0.53465933,103.16307
5440000000,-0.099252589,-99.389801
5472500000,0.2142816,57.047798
5505000000,-0.14747484,-146.6918
5537500000,-0.27270722,12.734859
5570000000,0.25560087,173.35715
5602500000,0.2333995,-29.083567
5635000000,0.60356516,128.59052
5667500000,0.82812214,-73.015526
5700000000,1.030767,83.156746
5732500000,0.83105034,-121.08551
5765000000,0.53401726,35.622128
5797500000,-0.32405108,-168.14334
5830000000,-1.5485367,-9.9802294
5862500000,-2.7074604,157.11131
5895000000,-3.5303667,-33.255344
5927500000,-2.8504009,132.98206
5960000000,-2.5482211,-61.38002
5992500000,-1.6354781,96.78804
