!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:31:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-1.3337322,-59.059696
532500000,-8.1497231,-15.713887
565000000,-13.990008,105.69091
597500000,-3.8054538,-172.63719
630000000,3.2158425,-89.161278
662500000,6.1896238,-39.068611
695000000,14.178843,-7.8805041
727500000,15.479142,-52.644253
760000000,14.782138,-100.96236
792500000,15.772966,-126.3868
825000000,15.414639,171.21394
857500000,16.743118,129.60226
890000000,17.196768,94.317642
922500000,17.402086,58.470123
955000000,17.839701,27.902143
987500000,17.797012,-23.662739
1020000000,17.827063,-24.746864
1052500000,15.758468,-10.644297
1085000000,17.6434,-24.683155
1117500000,15.814054,7.2992363
1150000000,17.73387,-13.402194
1182500000,16.378948,-1.6898507
1215000000,17.753382,18.355721
1247500000,17.691038,27.621229
1280000000,17.550585,89.341164
1312500000,17.247532,107.65056
1345000000,17.261942,170.52596
1377500000,17.068752,-156.34056
1410000000,12.249949,-93.878601
1442500000,16.981768,-26.584808
1475000000,16.80312,18.773939
1507500000,17.272951,71.711281
1540000000,17.245296,115.75865
1572500000,16.592728,173.26735
1605000000,17.024137,-103.83932
1637500000,16.896097,-51.584152
1670000000,16.185965,26.641094
1702500000,16.746145,93.274193
1735000000,16.06987,162.56557
1767500000,13.770222,-105.71284
1800000000,16.123325,-30.868546
1832500000,15.130709,50.482826
1865000000,14.774333,140.30836
1897500000,15.179069,-135.53271
1930000000,13.891334,-51.72908
1962500000,13.24439,40.850723
1995000000,12.597591,143.84164
2027500000,11.742415,-132.60529
2060000000,10.182493,-34.150814
2092500000,9.4711914,65.541466
2125000000,8.1102934,144.90636
2157500000,2.6172972,-120.48111
2190000000,0.0045244871,-10.759945
2222500000,-5.6244235,100.38123
2255000000,-1.5312928,-152.1322
2287500000,-6.5925879,-57.563347
2320000000,-13.935863,27.854914
2352500000,-18.917101,108.75306
2385000000,-2.3760684,134.1869
2417500000,0.65720767,-125.97614
2450000000,3.4725516,-12.052967
2482500000,6.5931821,93.90004
2515000000,7.0930061,-166.24083
2547500000,5.3156719,-45.852798
2580000000,6.5566678,83.450127
2612500000,8.4141188,-165.03676
2645000000,7.1714668,-52.469963
2677500000,7.5556579,79.872299
2710000000,9.5369473,-152.10794
2742500000,11.741323,-40.343555
2775000000,11.607934,73.705956
2807500000,11.855823,-158.54895
2840000000,13.086348,-40.236694
2872500000,13.210634,79.924736
2905000000,13.269663,-160.44023
2937500000,13.013685,-39.972607
2970000000,11.937549,93.219101
3002500000,11.157362,-135.36581
3035000000,11.534938,3.6829712
3067500000,12.273275,134.79619
3100000000,12.558058,-98.499481
3132500000,12.598814,36.836075
3165000000,12.992027,167.7957
3197500000,13.220887,-63.7062
3230000000,13.245317,65.865585
3262500000,13.066392,-163.18504
3295000000,12.454035,-28.047834
3327500000,12.225746,111.2795
3360000000,12.285259,-110.57254
3392500000,12.069414,23.201731
3425000000,12.358492,159.21127
3457500000,12.033851,-68.866615
3490000000,11.521161,70.584808
3522500000,10.88115,-147.65981
3555000000,10.765758,-5.9603839
3587500000,10.575812,134.56775
3620000000,10.421032,-84.412788
3652500000,10.31121,56.183514
3685000000,9.8112516,-164.29099
3717500000,9.3191776,-20.853704
3750000000,8.3599625,125.65117
3782500000,8.3660412,-86.491776
3815000000,8.9790077,58.354889
3847500000,9.2099123,-163.40788
3880000000,8.9491072,-26.701326
3912500000,7.636704,114.14583
3945000000,6.0322037,-99.886078
3977500000,4.506804,52.441395
4010000000,4.4227819,-151.09467
4042500000,4.6779671,-5.8227186
4075000000,3.9442778,139.64702
4107500000,3.0351217,-72.521904
4140000000,1.3785505,77.765137
4172500000,0.8705802,-125.22521
4205000000,0.56152439,27.648699
4237500000,0.40966445,-176.99174
4270000000,0.82362849,-25.783648
4302500000,0.75724804,119.38365
4335000000,-0.30943671,-93.508942
4367500000,-1.5475415,55.696716
4400000000,-3.6729186,-149.13103
4432500000,-3.5143888,13.637432
4465000000,-3.7911034,162.47881
4497500000,-5.2720289,-45.269836
4530000000,-6.5409837,112.42471
4562500000,-7.3388896,-90.511246
4595000000,-8.3876352,61.670361
4627500000,-10.594758,-140.27789
4660000000,-12.340135,21.532682
4692500000,-13.985704,-177.85321
4725000000,-17.058525,-19.794552
4757500000,-22.362181,178.82774
4790000000,-17.794245,9.0216188
4822500000,-16.042309,170.67242
4855000000,-15.08501,-22.43565
4887500000,-12.839559,137.23837
4920000000,-12.769661,-78.503815
4952500000,-15.715578,75.696327
4985000000,-21.880411,-117.88852
5017500000,-21.948652,123.8438
5050000000,-15.988702,-65.102272
5082500000,-12.799953,93.742073
5115000000,-12.036196,-106.80531
5147500000,-11.468471,60.529808
5180000000,-9.4465561,-131.05211
5212500000,-7.9018807,28.289629
5245000000,-7.063652,-171.10629
5277500000,-5.823771,-10.139334
5310000000,-5.0401621,148.36954
5342500000,-4.6318979,-53.672153
5375000000,-4.7615833,103.85781
5407500000,-5.3713708,-90.802116
5440000000,-5.3157854,76.917465
5472500000,-4.5462089,-116.57177
5505000000,-4.0041828,45.3964
5537500000,-3.9216495,-151.75848
5570000000,-3.4750485,17.165926
5602500000,-2.6980495,-179.60214
5635000000,-2.171885,-18.34807
5667500000,-2.007252,146.70424
5700000000,-1.7147026,-48.334373
5732500000,-1.4938394,115.06906
5765000000,-1.4457924,-79.473
5797500000,-1.6941193,86.464111
5830000000,-1.6453688,-104.21623
5862500000,-1.0050297,64.767342
5895000000,-1.0117807,-127.74818
5927500000,0.20508119,39.022503
5960000000,0.74797255,-155.94249
5992500000,1.3725429,4.4139876
6025000000,1.44206,166.28299
6057500000,0.82901698,-27.823397
6090000000,0.98096752,140.37024
6122500000,1.4240638,-52.694012
6155000000,1.661248,112.70257
6187500000,1.8362333,-83.585289
6220000000,1.7826827,78.696877
6252500000,1.0899884,-113.03934
6285000000,0.77545458,54.259045
6317500000,0.50623965,-134.91048
6350000000,0.16597526,35.77319
6382500000,0.2328063,-153.50751
6415000000,0.13973127,18.973923
6447500000,0.37323996,-168.73956
6480000000,1.1292582,-0.58419245
6512500000,1.4044675,165.35448
6545000000,0.96806264,-26.598825
6577500000,0.55119431,142.85278
6610000000,0.23191594,-42.569103
6642500000,0.29583669,128.91371
6675000000,0.59663576,-61.014328
6707500000,0.56293869,108.60517
6740000000,0.11690644,-81.307564
6772500000,0.25327119,89.897316
6805000000,0.3008523,-99.416397
6837500000,0.23570096,68.689613
6870000000,0.45371005,-120.00262
6902500000,0.60811263,45.593571
6935000000,0.22618991,-147.21173
6967500000,-0.23012012,20.232744
7000000000,-1.0915095,-170.91536
END

