!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Thursday, August 20, 2020 15:37:55
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-9.9475746,-112.45506
532500000,-16.377087,-106.32753
565000000,-34.705719,132.13068
597500000,-8.7382021,146.13994
630000000,-3.6361103,-124.98907
662500000,-0.21045682,-95.174278
695000000,5.2246561,-48.563282
727500000,10.935251,-92.123108
760000000,13.322219,-156.57088
792500000,11.597552,169.95862
825000000,11.029284,87.400276
857500000,13.884952,34.00206
890000000,12.671617,0.037929453
922500000,13.708973,-23.445101
955000000,15.810377,-63.444946
987500000,16.839588,-103.32953
1020000000,16.671476,-128.46234
1052500000,13.723973,-128.45068
1085000000,15.81049,-151.11316
1117500000,10.575134,-122.16155
1150000000,15.715762,-130.56358
1182500000,10.898614,-160.69543
1215000000,14.704185,-85.892632
1247500000,15.56072,-90.380524
1280000000,13.189198,-44.79105
1312500000,12.480837,-13.991277
1345000000,12.267811,55.756775
1377500000,13.497857,96.634491
1410000000,10.008647,138.36189
1442500000,14.54287,-164.74341
1475000000,15.757496,-131.74213
1507500000,15.832995,-72.047241
1540000000,16.437019,-29.001884
1572500000,15.821259,8.405817
1605000000,15.395652,86.788193
1637500000,15.840367,140.0623
1670000000,12.540709,-160.58186
1702500000,15.132913,-76.021477
1735000000,15.366145,-21.620451
1767500000,13.52484,44.556183
1800000000,13.855073,125.02116
1832500000,12.291182,-165.1203
1865000000,9.8954792,-80.486267
1897500000,11.160836,14.804205
1930000000,12.204583,93.023743
1962500000,11.49769,167.16942
1995000000,8.8028612,-100.89502
2027500000,7.2378864,-14.303054
2060000000,5.1706691,86.15461
2092500000,5.3163409,-179.47606
2125000000,5.5650053,-89.880615
2157500000,3.3249748,-16.590929
2190000000,-1.3911105,80.610397
2222500000,-3.3364909,-167.81819
2255000000,-1.4373616,-73.991486
2287500000,-2.1562712,3.1525402
2320000000,-3.2850292,73.578972
2352500000,-6.2500687,161.52815
2385000000,-3.7386475,-104.00469
2417500000,-1.3344285,-18.521376
2450000000,-1.498408,78.582596
2482500000,0.79143935,-174.68768
2515000000,1.9071068,-67.700783
2547500000,3.826663,36.642776
2580000000,4.467773,142.75769
2612500000,4.6587949,-110.96468
2645000000,3.3758276,3.588021
2677500000,4.7181664,124.76629
2710000000,5.1300311,-117.18781
2742500000,6.4183722,-0.099625826
2775000000,6.9368892,117.84041
2807500000,8.0823412,-121.36359
2840000000,8.8013716,-7.1989818
2872500000,9.4331598,108.40231
2905000000,9.1610394,-134.02756
2937500000,8.9161968,-13.834066
2970000000,8.9546947,111.96769
3002500000,8.8129091,-129.79393
3035000000,8.258687,-7.5365496
3067500000,7.2272902,119.52747
3100000000,6.9067364,-107.83864
3132500000,6.7117562,22.703539
3165000000,6.632688,158.61018
3197500000,7.8102727,-67.504166
3230000000,8.2137489,59.557964
3262500000,8.6819468,-168.02026
3295000000,9.006218,-41.846481
3327500000,8.4453287,90.29702
3360000000,9.0197306,-137.52173
3392500000,9.028161,-9.9408569
3425000000,9.0926228,119.62516
3457500000,8.4491653,-110.66682
3490000000,8.2752666,19.297375
3522500000,6.959106,151.93658
3555000000,6.2772632,-68.87545
3587500000,6.3384438,69.703712
3620000000,6.5848904,-156.16698
3652500000,6.0661745,-22.58279
3685000000,5.1260171,114.27242
3717500000,4.5707488,-104.34849
3750000000,4.5414128,34.835983
3782500000,4.0418715,173.75916
3815000000,3.9224877,-44.67363
3847500000,3.6040566,94.218628
3880000000,3.5689385,-127.45963
3912500000,2.90838,7.0332685
3945000000,0.85567713,147.13281
3977500000,-0.26827392,-64.831741
4010000000,-0.99706703,83.012909
4042500000,-1.3038367,-131.62364
4075000000,-1.8980492,12.119899
4107500000,-2.5555139,156.24747
4140000000,-3.7826452,-59.629616
4172500000,-4.6665263,85.681084
4205000000,-6.2414765,-126.58749
4237500000,-7.3392854,27.75808
4270000000,-7.3503661,-177.01773
4302500000,-7.3202276,-31.733521
4335000000,-8.1093502,119.14559
4367500000,-7.9377198,-89.506096
4400000000,-8.2555494,56.378056
4432500000,-9.1245127,-154.21562
4465000000,-9.7292757,-4.0794506
4497500000,-10.242259,148.48032
4530000000,-11.074139,-64.936684
4562500000,-12.576816,90.272202
4595000000,-14.720194,-118.3982
4627500000,-17.717133,46.372608
4660000000,-17.997055,-132.52789
4692500000,-16.478292,27.140968
4725000000,-15.745181,-171.29872
4757500000,-15.361133,-17.490711
4790000000,-14.995577,137.51622
4822500000,-14.390224,-69.903793
4855000000,-14.891184,79.460892
4887500000,-14.99487,-133.92265
4920000000,-16.455685,5.668643
4952500000,-20.5653,152.99985
4985000000,-25.594431,-53.027775
5017500000,-30.45768,130.43227
5050000000,-38.258282,-54.054962
5082500000,-34.806156,-174.88499
5115000000,-30.165003,4.5958948
5147500000,-27.73506,176.58975
5180000000,-23.733604,-16.944891
5212500000,-21.737398,135.28378
5245000000,-20.569427,-66.049179
5277500000,-18.061466,97.660973
5310000000,-15.80176,-110.30406
5342500000,-15.204005,44.689476
5375000000,-14.284851,-157.47971
5407500000,-13.306705,6.527421
5440000000,-11.761361,164.05295
5472500000,-10.535798,-38.651791
5505000000,-9.5010767,117.18998
5537500000,-9.1894865,-88.026016
5570000000,-9.1411495,74.121391
5602500000,-8.762188,-121.72004
5635000000,-6.8660345,41.665024
5667500000,-5.4289117,-163.02942
5700000000,-4.7248969,-10.58351
5732500000,-4.7244782,142.25037
5765000000,-5.2323847,-62.274792
5797500000,-6.4621034,94.769806
5830000000,-7.875967,-101.44768
5862500000,-8.179553,69.510757
5895000000,-7.9581795,-124.01842
5927500000,-7.0618334,37.055496
5960000000,-7.1883111,-160.90135
5992500000,-6.9688015,0.32521024
6025000000,-6.4128056,162.49617
6057500000,-6.3696094,-39.037994
6090000000,-6.2086973,117.91611
6122500000,-6.4143777,-83.674706
6155000000,-7.0553226,73.449272
6187500000,-8.134634,-128.66847
6220000000,-9.9222002,31.231758
6252500000,-11.792036,-151.01692
6285000000,-11.734754,25.16843
6317500000,-10.810119,-162.13541
6350000000,-9.9586945,5.1208248
6382500000,-9.4424448,172.70505
6415000000,-8.7877579,-19.201818
6447500000,-8.2788668,144.97227
6480000000,-7.8655267,-51.441498
6512500000,-8.0658388,112.62923
6545000000,-8.8214111,-78.238686
6577500000,-9.0047865,91.115326
6610000000,-8.7201786,-95.792595
6642500000,-8.4215307,72.180382
6675000000,-7.7942648,-122.12103
6707500000,-8.0474968,44.762917
6740000000,-8.2386265,-147.08215
6772500000,-7.9266829,22.154949
6805000000,-7.4582801,-170.67728
6837500000,-7.0627327,-6.6928134
6870000000,-6.6071219,157.67772
6902500000,-6.4682097,-41.549755
6935000000,-6.9858599,118.68192
6967500000,-7.9496088,-78.292404
7000000000,-9.0168257,87.752884
END

