!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Tuesday, September 29, 2020 14:13:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-20.748066,52.587177
532500000,-21.659121,157.76068
565000000,-19.609262,146.16843
597500000,-25.812048,-125.69804
630000000,-19.60314,66.882652
662500000,-14.771152,122.99775
695000000,-8.3019543,131.07481
727500000,-1.5872954,99.246178
760000000,2.3342838,38.569092
792500000,0.49902326,-20.28056
825000000,2.7703593,-112.64788
857500000,6.7932706,-172.07635
890000000,7.2821097,117.22623
922500000,5.4376755,48.883499
955000000,5.8496876,27.03508
987500000,3.8753955,-7.82026
1020000000,7.629756,-25.614195
1052500000,1.6342634,-59.917534
1085000000,3.89096,-77.265465
1117500000,1.1428163,-81.590706
1150000000,3.6989422,-87.03949
1182500000,-3.9139867,-73.881577
1215000000,4.4733171,-63.658291
1247500000,3.005641,-58.530731
1280000000,2.8180654,-26.044613
1312500000,0.52198559,-11.468618
1345000000,1.7791145,38.676628
1377500000,-2.5751121,69.033783
1410000000,-3.6364887,122.63176
1442500000,-0.94490075,173.05019
1475000000,1.0707262,-143.67668
1507500000,3.9838946,-90.108246
1540000000,4.6466041,-43.917065
1572500000,7.5015416,-14.03618
1605000000,6.3368073,23.450874
1637500000,3.9449751,74.166092
1670000000,2.6129477,135.97398
1702500000,3.7699063,-166.24535
1735000000,3.7849815,-98.538925
1767500000,4.1039438,-54.772327
1800000000,1.5607067,22.538452
1832500000,0.87067163,102.37088
1865000000,1.2140918,178.10515
1897500000,2.3866742,-101.70267
1930000000,3.6801069,-25.150826
1962500000,5.0074406,42.730869
1995000000,3.030149,111.69888
2027500000,1.4546754,-164.33997
2060000000,0.36975482,-85.046555
2092500000,-3.3694496,9.7412863
2125000000,-0.47290573,107.20927
2157500000,0.48278844,-167.25711
2190000000,0.62165105,-86.325752
2222500000,0.022058811,2.5532417
2255000000,-0.55883151,108.75819
2287500000,-0.47034547,-158.42995
2320000000,-0.87453395,-66.143822
2352500000,-2.2009928,30.467978
2385000000,-0.64558893,125.63983
2417500000,-1.169577,-143.01334
2450000000,-2.0992365,-43.334534
2482500000,-2.1534424,56.846394
2515000000,-3.7758698,157.96075
2547500000,-4.0729008,-91.348839
2580000000,-4.4070687,19.151329
2612500000,-4.1411228,126.54207
2645000000,-4.3090429,-129.44759
2677500000,-4.506979,-28.310135
2710000000,-7.016932,80.325867
2742500000,-7.6685562,-157.99352
2775000000,-7.5371408,-53.292046
2807500000,-8.6162968,69.485641
2840000000,-8.9473906,-175.97313
2872500000,-9.4455891,-49.281536
2905000000,-8.8888779,78.226585
2937500000,-8.0513334,-165.92764
2970000000,-7.3764067,-40.717098
3002500000,-5.8017144,74.387741
3035000000,-4.4888988,-175.60307
3067500000,-4.6448255,-61.669041
3100000000,-4.6694002,58.011318
3132500000,-4.3321152,176.29138
3165000000,-4.6038566,-61.64444
3197500000,-3.7279525,59.257008
3230000000,-3.9238074,177.76895
3262500000,-4.1187997,-58.179989
3295000000,-4.4558835,63.051315
3327500000,-4.3322091,-169.22751
3360000000,-3.7750976,-44.14275
3392500000,-2.8571284,77.686943
3425000000,-1.5917164,-162.0007
3457500000,-2.0368259,-49.327885
3490000000,-2.6380801,74.39444
3522500000,-3.2503846,-163.20718
3555000000,-3.4243791,-33.752449
3587500000,-3.2350683,90.642189
3620000000,-3.5815532,-147.59914
3652500000,-4.2556143,-22.728235
3685000000,-5.2944179,101.31494
3717500000,-6.6674223,-128.61958
3750000000,-7.2422261,7.7009845
3782500000,-6.0213652,140.4576
3815000000,-5.5928254,-94.629974
3847500000,-5.976387,28.804649
3880000000,-6.6106057,153.31764
3912500000,-7.8250232,-79.782112
3945000000,-10.568093,51.702541
3977500000,-11.95013,-167.36531
4010000000,-13.660155,-26.62849
4042500000,-14.063447,121.52307
4075000000,-13.383942,-101.72296
4107500000,-13.878296,33.401104
4140000000,-13.842806,169.84187
4172500000,-15.407948,-52.400661
4205000000,-14.717377,84.358223
4237500000,-15.176874,-142.85201
4270000000,-16.249598,0.69958204
4302500000,-15.421643,148.57655
4335000000,-14.614777,-70.694786
4367500000,-13.953668,67.446709
4400000000,-13.515336,-161.4371
4432500000,-14.420785,-24.402176
4465000000,-14.681723,112.94366
4497500000,-15.740645,-107.80361
4530000000,-15.99711,34.697884
4562500000,-16.26795,171.06096
4595000000,-16.91279,-55.897243
4627500000,-18.721506,77.121292
4660000000,-20.919024,-136.43816
4692500000,-23.08095,6.1390018
4725000000,-22.918133,152.09024
4757500000,-24.357479,-60.104885
4790000000,-24.040705,93.877487
4822500000,-23.265739,-112.86227
4855000000,-23.30164,24.045387
4887500000,-23.168247,169.66806
4920000000,-24.443916,-56.684654
4952500000,-26.922813,82.263809
4985000000,-31.177971,-105.68069
5017500000,-30.955805,50.251152
5050000000,-31.727591,-159.95781
5082500000,-32.455585,-19.268375
5115000000,-42.138588,106.34503
5147500000,-37.913769,178.19746
5180000000,-33.201729,-73.464806
5212500000,-35.938324,48.712563
5245000000,-30.891026,-145.1494
5277500000,-26.486191,-19.008101
5310000000,-25.117109,122.64078
5342500000,-24.091127,-97.35186
5375000000,-25.114635,39.905392
5407500000,-26.828035,-166.04887
5440000000,-26.24542,-19.471745
5472500000,-25.372694,131.00858
5505000000,-25.689661,-85.03215
5537500000,-27.118368,74.366806
5570000000,-23.636091,-126.38425
5602500000,-21.222288,18.353024
5635000000,-19.187063,155.97696
5667500000,-18.317049,-63.553688
5700000000,-18.36503,77.75428
5732500000,-18.443745,-139.81073
5765000000,-19.653738,5.5008001
5797500000,-20.706493,156.35941
5830000000,-22.262564,-48.535091
5862500000,-22.989225,118.01088
5895000000,-22.230915,-81.877075
5927500000,-20.846975,79.114906
5960000000,-19.839252,-126.48286
5992500000,-18.83857,21.637751
6025000000,-18.412952,168.418
6057500000,-19.192934,-43.575535
6090000000,-19.580532,109.44804
6122500000,-19.696064,-100.11162
6155000000,-20.811365,58.059654
6187500000,-21.062386,-146.61208
6220000000,-22.214396,4.8658423
6252500000,-23.635246,169.22556
6285000000,-22.515219,-24.019751
6317500000,-20.700546,137.57359
6350000000,-19.333376,-74.152328
6382500000,-19.252335,69.780388
6415000000,-20.354557,-135.83878
6447500000,-20.941835,22.489096
6480000000,-20.703072,-176.80209
6512500000,-20.13287,-19.349714
6545000000,-20.105862,142.13625
6577500000,-19.704397,-64.993431
6610000000,-19.451389,95.429886
6642500000,-19.51791,-108.63852
6675000000,-19.036211,50.313046
6707500000,-19.623774,-151.9034
6740000000,-19.564257,12.371361
6772500000,-18.550873,172.93538
6805000000,-17.805449,-28.887589
6837500000,-16.928402,124.76671
6870000000,-16.636433,-82.616547
6902500000,-16.726057,69.935188
6935000000,-17.2623,-137.42789
6967500000,-18.077396,18.247719
7000000000,-19.350513,177.39438
END

