!CSV A.01.01
!Agilent Technologies,N5225A,MY51451353,A.10.00.00
!Agilent N5225A: A.10.00.00
!Date: Tuesday, September 29, 2020 14:12:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
500000000,-20.588324,37.230637
532500000,-21.746872,158.92857
565000000,-18.882166,142.63753
597500000,-20.540169,172.44612
630000000,-22.451204,76.685867
662500000,-13.906588,130.41008
695000000,-7.6056705,146.51877
727500000,0.063989744,107.74822
760000000,2.4093034,45.877644
792500000,0.079739198,-13.110757
825000000,2.9890409,-105.49348
857500000,5.8049035,-164.98666
890000000,6.3616834,123.60284
922500000,4.6466503,59.399212
955000000,-0.16155435,39.224232
987500000,1.0156204,8.6631718
1020000000,3.4473612,8.438735
1052500000,-0.70107365,-9.6749649
1085000000,4.2292128,-29.413115
1117500000,1.5317851,-25.498981
1150000000,4.2781405,-46.798222
1182500000,-1.5200573,-37.653572
1215000000,3.4903123,-11.303532
1247500000,4.2194481,-0.57678688
1280000000,5.7170734,32.093636
1312500000,4.2359462,32.340599
1345000000,3.2319257,86.807739
1377500000,3.0109742,119.49102
1410000000,2.1520641,161.61603
1442500000,4.492774,-170.23561
1475000000,3.0626011,-120.7279
1507500000,5.7441359,-63.489586
1540000000,6.5003424,-18.657011
1572500000,7.9372506,13.422148
1605000000,7.3217382,62.87043
1637500000,5.7187819,117.3835
1670000000,5.0751538,174.70065
1702500000,5.4413409,-122.17254
1735000000,6.0288262,-51.48814
1767500000,5.7665153,-1.7739633
1800000000,4.774724,74.593018
1832500000,4.5835986,147.94196
1865000000,5.0613246,-135.36012
1897500000,5.6082563,-53.01783
1930000000,6.2732153,21.371624
1962500000,6.5644274,94.785736
1995000000,5.7720313,-178.38901
2027500000,5.7862854,-98.586655
2060000000,6.0346918,-12.530539
2092500000,5.571208,70.032181
2125000000,5.5291309,163.50455
2157500000,6.8795977,-107.73392
2190000000,7.1295509,-28.101358
2222500000,5.8509488,58.823277
2255000000,6.2145386,163.40466
2287500000,6.6934066,-105.69834
2320000000,6.7284203,-12.541297
2352500000,5.8922634,79.211372
2385000000,6.7928138,179.94141
2417500000,6.8287234,-87.804169
2450000000,6.3014989,9.0459614
2482500000,5.5061011,109.28687
2515000000,4.806253,-144.77979
2547500000,5.2106395,-41.701992
2580000000,4.8410635,62.950943
2612500000,4.5045171,166.7412
2645000000,2.8846829,-82.718231
2677500000,4.1032267,28.509684
2710000000,3.8097651,138.70021
2742500000,4.8327236,-110.16285
2775000000,5.4048519,-9.13871
2807500000,4.2454877,100.29562
2840000000,4.3710828,-148.99242
2872500000,3.5119324,-38.902405
2905000000,2.9130678,77.309952
2937500000,2.1949613,-170.02359
2970000000,1.1631545,-43.063049
3002500000,1.4921664,74.82737
3035000000,1.2622812,-165.00587
3067500000,2.0463734,-43.105736
3100000000,2.3887289,71.503174
3132500000,2.0624743,-168.94258
3165000000,1.6894953,-45.290291
3197500000,2.2075584,75.754944
3230000000,1.6625317,-167.11389
3262500000,0.6833744,-43.18523
3295000000,-0.10473432,84.051453
3327500000,-0.24031541,-146.53922
3360000000,-0.10965891,-18.61771
3392500000,0.18781179,106.56654
3425000000,1.219202,-127.02581
3457500000,0.73270416,-8.0631456
3490000000,0.8059262,119.66493
3522500000,0.56775314,-115.21633
3555000000,0.75239456,13.792707
3587500000,0.92014378,139.95445
3620000000,0.78732979,-94.811768
3652500000,0.32833919,33.462337
3685000000,-0.68293762,162.34666
3717500000,-1.637504,-64.080856
3750000000,-1.9259731,73.492737
3782500000,-1.3485098,-154.55247
3815000000,-1.3417363,-22.782124
3847500000,-1.3897852,108.89402
3880000000,-1.5400321,-118.37171
3912500000,-1.9711152,12.199236
3945000000,-2.773525,148.3739
3977500000,-2.7201707,-73.553574
4010000000,-2.3524518,63.43198
4042500000,-1.8802459,-162.77425
4075000000,-1.7299356,-29.451584
4107500000,-2.1545486,102.21716
4140000000,-2.9467838,-122.13689
4172500000,-3.1793659,20.419834
4205000000,-2.9597228,155.24953
4237500000,-3.5309711,-68.613281
4270000000,-4.0178981,73.439537
4302500000,-3.9847145,-145.89491
4335000000,-3.5228298,-3.2004108
4367500000,-2.7853346,132.03065
4400000000,-3.9574311,-94.460648
4432500000,-4.521028,51.873516
4465000000,-4.3768291,-165.49863
4497500000,-4.3546538,-22.200544
4530000000,-4.1587896,117.24654
4562500000,-4.3878365,-101.65958
4595000000,-4.9202371,38.31028
4627500000,-5.7490492,-176.27191
4660000000,-6.2615929,-28.452776
4692500000,-6.2795091,119.35925
4725000000,-6.6215067,-92.684685
4757500000,-5.9078555,59.515648
4790000000,-4.8351808,-155.99419
4822500000,-4.2052264,-13.222474
4855000000,-3.8144073,127.74392
4887500000,-4.0198689,-92.22126
4920000000,-4.7099395,50.711956
4952500000,-5.7204514,-161.97511
4985000000,-6.1998725,-13.279065
5017500000,-6.7805829,137.68993
5050000000,-7.1127768,-71.449944
5082500000,-6.8476701,82.521393
5115000000,-6.2453923,-126.60642
5147500000,-6.085104,19.478918
5180000000,-6.0595374,168.86537
5212500000,-6.0151463,-42.552677
5245000000,-5.9439912,113.0444
5277500000,-4.320601,-98.28476
5310000000,-3.8376255,44.925507
5342500000,-4.0165744,-168.2597
5375000000,-3.8681016,-22.901081
5407500000,-3.9655211,127.14546
5440000000,-3.8329597,-84.525597
5472500000,-3.5081429,64.349365
5505000000,-3.6364286,-148.61163
5537500000,-4.3570004,0.69098616
5570000000,-4.6437545,157.20102
5602500000,-4.2915726,-47.766079
5635000000,-3.5334008,103.05158
5667500000,-2.8862393,-106.63258
5700000000,-2.6021433,39.809879
5732500000,-2.7853692,-175.25226
5765000000,-3.5364392,-26.960571
5797500000,-4.6086297,123.25921
5830000000,-5.916317,-83.795204
5862500000,-6.573122,77.687576
5895000000,-6.5758386,-123.76388
5927500000,-5.6499486,32.146664
5960000000,-5.2285509,-174.43692
5992500000,-4.7784419,-24.564465
6025000000,-4.2948885,125.10572
6057500000,-4.6419749,-86.454735
6090000000,-4.7495489,63.52335
6122500000,-4.8659382,-145.31415
6155000000,-5.5303245,7.0824795
6187500000,-5.9423165,158.83481
6220000000,-6.7285304,-48.665844
6252500000,-7.7521477,113.56664
6285000000,-7.3110733,-88.862366
6317500000,-7.1435871,68.461502
6350000000,-7.1846857,-136.20345
6382500000,-7.1828685,17.779249
6415000000,-7.7597022,175.64134
6447500000,-8.1288347,-25.004581
6480000000,-7.9078112,133.87459
6512500000,-7.6486087,-69.139908
6545000000,-8.0671749,88.205818
6577500000,-8.4064598,-114.71577
6610000000,-8.3714752,48.082287
6642500000,-8.140173,-155.20454
6675000000,-7.8745227,2.1893201
6707500000,-8.121645,158.12331
6740000000,-8.7139626,-44.107059
6772500000,-8.5251474,115.42282
6805000000,-8.1979656,-85.474426
6837500000,-8.0119152,68.411766
6870000000,-7.918468,-135.20244
6902500000,-7.871232,16.841259
6935000000,-8.5050688,169.46455
6967500000,-9.2341232,-34.550732
7000000000,-10.081069,122.55205
END

